n,regime,replicates,excess_mean,excess_se,scaled_excess_mean,scaled_excess_se,lower_bound_mean,lower_bound_se
32,local_tie,1000,0.0064421243981187416,0.0001728182251150178,0.0728843175545131,0.0019552150222632387,0.005859374912688509,0.0
32,fixed_gap,1000,0.012034681908749019,0.0004001320292780544,0.1361568829935919,0.004526977140359144,nan,0.0
128,local_tie,1000,0.0032061941709127495,8.687089941632789e-05,0.07254789248170194,0.0019656640660819184,0.002929687497271516,0.0
128,fixed_gap,1000,0.006744647842782104,0.00030054423499994304,0.15261395924308627,0.006800539731679457,nan,0.0
512,local_tie,1000,0.0016805571220076287,4.3242956104665204e-05,0.0760533335771483,0.001956952800010303,0.0014648437499147349,0.0
512,fixed_gap,1000,0.0016910424965127615,0.00010440962341849168,0.07652784745976335,0.004725040175382351,nan,0.0
2048,local_tie,1000,0.0008506422984987848,2.1771788476072538e-05,0.07699135201697306,0.0019705573465587226,0.0007324218749973355,0.0
2048,fixed_gap,1000,0.00041780023646322326,1.8200213161352984e-05,0.0378149606892145,0.001647295250615469,nan,0.0
8192,local_tie,1000,0.00042363480594003323,1.072600347393426e-05,0.07668609127087223,0.0019416140266110419,0.00036621093749991673,0.0
8192,fixed_gap,1000,9.848802457221168e-05,4.389128442574765e-06,0.01782823681041362,0.000794517116222302,nan,0.0
32768,local_tie,1000,0.00021822344222175498,5.375641058434557e-06,0.07900532521414334,0.0019461899497696796,0.00018310546875,0.0
32768,fixed_gap,1000,2.4935997184146353e-05,1.0807143389691582e-06,0.009027795304733974,0.000391260384056642,nan,0.0
